Time,Host,Service,Port,Protocol,Type,Data
"2025-09-07 12:29:33 UTC","10.237.31.167","","","","host.last_boot","{:time=>""Sun Sep 7 09:40:21 2025""}"
"2025-09-07 12:29:33 UTC","10.252.176.154","","","","host.last_boot","{:time=>""Mon Sep 8 10:57:15 2025""}"
"2025-09-07 12:29:34 UTC","10.172.123.57","","","","host.last_boot","{:time=>""Sat Aug 30 04:50:32 2025""}"
"2025-09-07 12:29:34 UTC","10.80.70.36","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2016"", :os_accuracy=>87}"
"2025-09-07 12:29:34 UTC","10.172.123.70","","","","host.last_boot","{:time=>""Sat Aug 30 04:28:17 2025""}"
"2025-09-07 12:29:34 UTC","10.67.108.106","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2016"", :os_accuracy=>87}"
"2025-09-07 12:29:34 UTC","10.183.61.130","","","","host.os.nmap_fingerprint","{:os_vendor=>""OpenBSD"", :os_family=>""OpenBSD"", :os_version=>""4.X"", :os_accuracy=>85}"
"2025-09-07 12:29:34 UTC","10.210.211.63","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2016"", :os_accuracy=>87}"
"2025-09-07 12:29:34 UTC","10.80.23.183","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2012"", :os_accuracy=>94}"
"2025-09-07 12:29:34 UTC","10.80.23.183","","","","host.last_boot","{:time=>""Sun Feb 23 10:29:16 2025""}"
"2025-09-07 12:29:34 UTC","10.69.72.240","","","","host.last_boot","{:time=>""Thu Aug 21 01:15:39 2025""}"
"2025-09-07 12:29:34 UTC","10.67.110.154","","","","host.last_boot","{:time=>""Mon Sep 8 10:57:16 2025""}"
"2025-09-07 12:29:34 UTC","10.183.61.130","","","","host.last_boot","{:time=>""Mon Sep 8 10:57:14 2025""}"
"2025-09-07 12:29:34 UTC","10.210.211.63","","","","host.last_boot","{:time=>""Mon Sep 8 07:48:53 2025""}"
"2025-09-07 12:29:34 UTC","10.80.1.254","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2008"", :os_accuracy=>100}"
