Time,Host,Service,Port,Protocol,Type,Data
"2025-09-07 11:08:10 UTC","10.90.242.1","","","","host.os.nmap_fingerprint","{:os_vendor=>""Cisco"", :os_family=>""IOS"", :os_version=>""12.X"", :os_accuracy=>95}"
"2025-09-07 11:08:10 UTC","10.90.242.12","","","","host.last_boot","{:time=>""Wed May 21 20:06:39 2025""}"
"2025-09-07 11:08:10 UTC","10.90.242.12","","","","host.os.nmap_fingerprint","{:os_vendor=>""Cognitive"", :os_family=>""embedded"", :os_version=>nil, :os_accuracy=>89}"
"2025-09-07 11:08:11 UTC","10.90.242.25","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2022"", :os_accuracy=>86}"
"2025-09-07 11:08:11 UTC","10.90.242.27","","","","host.os.nmap_fingerprint","{:os_vendor=>""HP"", :os_family=>""embedded"", :os_version=>nil, :os_accuracy=>97}"
"2025-09-07 11:08:11 UTC","10.90.242.34","","","","host.last_boot","{:time=>""Wed May 21 20:06:39 2025""}"
"2025-09-07 11:08:11 UTC","10.90.242.59","","","","host.last_boot","{:time=>""Wed May 21 20:06:39 2025""}"
"2025-09-07 11:08:11 UTC","10.90.242.34","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2008"", :os_accuracy=>100}"
"2025-09-07 11:08:11 UTC","10.90.242.59","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2008"", :os_accuracy=>100}"
"2025-09-07 11:08:11 UTC","10.90.242.25","","","","host.last_boot","{:time=>""Fri Aug 22 08:06:20 2025""}"
"2025-09-07 11:08:11 UTC","10.90.242.27","","","","host.last_boot","{:time=>""Fri Aug 29 06:11:57 2025""}"
"2025-09-08 07:18:06 UTC","10.90.242.12","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
