host,port,proto,name,state,info
"10.90.242.1","21","tcp","ftp","closed",""
"10.90.242.1","22","tcp","ssh","closed",""
"10.90.242.1","23","tcp","telnet","closed",""
"10.90.242.1","25","tcp","smtp","filtered",""
"10.90.242.1","53","tcp","domain","closed",""
"10.90.242.1","53","udp","domain","filtered",""
"10.90.242.1","67","udp","dhcps","filtered",""
"10.90.242.1","69","udp","tftp","unknown",""
"10.90.242.1","80","tcp","http","closed",""
"10.90.242.1","110","tcp","pop3","closed",""
"10.90.242.1","111","tcp","rpcbind","closed",""
"10.90.242.1","123","udp","ntp","filtered",""
"10.90.242.1","135","tcp","msrpc","closed",""
"10.90.242.1","137","udp","netbios-ns","unknown",""
"10.90.242.1","138","udp","netbios-dgm","filtered",""
"10.90.242.1","139","tcp","netbios-ssn","closed",""
"10.90.242.1","143","tcp","imap","closed",""
"10.90.242.1","161","udp","snmp","unknown",""
"10.90.242.1","162","udp","snmptrap","unknown",""
"10.90.242.1","389","tcp","ldap","filtered",""
"10.90.242.1","389","udp","ldap","unknown",""
"10.90.242.1","443","tcp","https","closed",""
"10.90.242.1","445","tcp","microsoft-ds","closed",""
"10.90.242.1","636","tcp","ldapssl","filtered",""
"10.90.242.1","636","udp","ldaps","unknown",""
"10.90.242.1","993","tcp","imaps","closed",""
"10.90.242.1","995","tcp","pop3s","closed",""
"10.90.242.1","1099","tcp","rmiregistry","filtered",""
"10.90.242.1","1389","tcp","iclpv-dm","filtered",""
"10.90.242.1","1433","udp","ms-sql-s","unknown",""
"10.90.242.1","1521","udp","ncube-lm","unknown",""
"10.90.242.1","1723","tcp","pptp","closed",""
"10.90.242.1","3268","tcp","globalcatldap","filtered",""
"10.90.242.1","3269","tcp","globalcatldapssl","filtered",""
"10.90.242.1","3306","tcp","mysql","closed",""
"10.90.242.1","3389","tcp","ms-wbt-server","closed",""
"10.90.242.1","5432","udp","postgresql","filtered",""
"10.90.242.1","5900","tcp","vnc","closed",""
"10.90.242.1","5900","udp","rfb","filtered",""
"10.90.242.1","6000","udp","x11","filtered",""
"10.90.242.1","8080","tcp","http-proxy","closed",""
"10.90.242.1","8080","udp","http-alt","unknown",""
"10.90.242.1","8443","tcp","https-alt","closed",""
"10.90.242.12","21","tcp","ftp","filtered",""
"10.90.242.12","22","tcp","ssh","filtered",""
"10.90.242.12","23","tcp","telnet","filtered",""
"10.90.242.12","25","tcp","smtp","filtered",""
"10.90.242.12","53","tcp","domain","filtered",""
"10.90.242.12","53","udp","domain","unknown",""
"10.90.242.12","67","udp","dhcps","unknown",""
"10.90.242.12","69","udp","tftp","unknown",""
"10.90.242.12","80","tcp","http","filtered",""
"10.90.242.12","110","tcp","pop3","filtered",""
"10.90.242.12","111","tcp","rpcbind","filtered",""
"10.90.242.12","113","tcp","ident","closed",""
"10.90.242.12","123","udp","ntp","unknown",""
"10.90.242.12","135","tcp","msrpc","filtered",""
"10.90.242.12","137","udp","netbios-ns","unknown",""
"10.90.242.12","138","udp","netbios-dgm","unknown",""
"10.90.242.12","139","tcp","netbios-ssn","filtered",""
"10.90.242.12","143","tcp","imap","filtered",""
"10.90.242.12","161","udp","snmp","unknown",""
"10.90.242.12","162","udp","snmptrap","unknown",""
"10.90.242.12","389","udp","ldap","unknown",""
"10.90.242.12","443","tcp","https","open",""
"10.90.242.12","445","tcp","microsoft-ds","filtered",""
"10.90.242.12","636","udp","ldaps","unknown",""
"10.90.242.12","993","tcp","imaps","filtered",""
"10.90.242.12","995","tcp","pop3s","filtered",""
"10.90.242.12","1433","udp","ms-sql-s","unknown",""
"10.90.242.12","1521","udp","ncube-lm","unknown",""
"10.90.242.12","1723","tcp","pptp","filtered",""
"10.90.242.12","3306","tcp","mysql","filtered",""
"10.90.242.12","3389","tcp","ms-wbt-server","filtered",""
"10.90.242.12","4500","tcp","sae-urn","open",""
"10.90.242.12","5432","udp","postgresql","unknown",""
"10.90.242.12","5900","tcp","vnc","filtered",""
"10.90.242.12","5900","udp","rfb","unknown",""
"10.90.242.12","6000","udp","x11","unknown",""
"10.90.242.12","8080","tcp","http-proxy","filtered",""
"10.90.242.12","8080","udp","http-alt","unknown",""
"10.90.242.12","8443","tcp","https-alt","filtered",""
"10.90.242.25","21","tcp","ftp","filtered",""
"10.90.242.25","22","tcp","ftp","open","FileZilla ftpd 0.9.60 beta"
"10.90.242.25","23","tcp","telnet","filtered",""
"10.90.242.25","25","tcp","smtp","filtered",""
"10.90.242.25","53","tcp","domain","filtered",""
"10.90.242.25","53","udp","domain","unknown",""
"10.90.242.25","67","udp","dhcps","unknown",""
"10.90.242.25","69","udp","tftp","unknown",""
"10.90.242.25","80","tcp","http","filtered",""
"10.90.242.25","110","tcp","pop3","filtered",""
"10.90.242.25","111","tcp","rpcbind","filtered",""
"10.90.242.25","113","tcp","ident","closed",""
"10.90.242.25","123","udp","ntp","unknown",""
"10.90.242.25","135","tcp","msrpc","filtered",""
"10.90.242.25","137","udp","netbios-ns","unknown",""
"10.90.242.25","138","udp","netbios-dgm","unknown",""
"10.90.242.25","139","tcp","netbios-ssn","filtered",""
"10.90.242.25","143","tcp","imap","filtered",""
"10.90.242.25","161","udp","snmp","unknown",""
"10.90.242.25","162","udp","snmptrap","unknown",""
"10.90.242.25","389","udp","ldap","unknown",""
"10.90.242.25","443","tcp","https","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.90.242.25","445","tcp","microsoft-ds","filtered",""
"10.90.242.25","636","udp","ldaps","unknown",""
"10.90.242.25","993","tcp","imaps","filtered",""
"10.90.242.25","995","tcp","pop3s","filtered",""
"10.90.242.25","1433","udp","ms-sql-s","unknown",""
"10.90.242.25","1521","udp","ncube-lm","unknown",""
"10.90.242.25","1723","tcp","pptp","filtered",""
"10.90.242.25","3306","tcp","mysql","filtered",""
"10.90.242.25","3389","tcp","ms-wbt-server","filtered",""
"10.90.242.25","4500","tcp","sae-urn","open",""
